"category","event_id","name","parameter","address","type","source_scope"
"coding_plug|burner_flame_fan","427","GWG72: Offset modulierender Brenner","","GWG_Codierstecker_BROffset~0x1070","1","global Vitosoft event export"
"coding_plug|burner_flame_fan","428","GWG73: Anfahroptimierung modulierender Brenner","","GWG_Codierstecker_BROpt~0x1070","1","global Vitosoft event export"
"coding_plug|pump_logic","429","GWG75: Mindestdrehzahl Interne Pumpe","","GWG_Codierstecker_DrehzMin~0x1070","1","global Vitosoft event export"
"coding_plug","430","GWG60: Einschaltdifferenz","","GWG_Codierstecker_EinDiff~0x1060","1","global Vitosoft event export"
"coding_plug","431","GWG50: Gerätetyp","","GWG_Codierstecker_Geraetetyp~0x1050","1","global Vitosoft event export"
"coding_plug","432","GWG80: DLH Ausschaltdifferenz Start-Stop Bedingung","","GWG_Codierstecker_GWG80~0x1080","1","global Vitosoft event export"
"coding_plug","433","GWG81: DLH Einschaltdifferenz Start-Stop Bedingung","","GWG_Codierstecker_GWG81~0x1080","1","global Vitosoft event export"
"coding_plug","434","GWG82: DLH Nachlaufzeit","","GWG_Codierstecker_GWG82~0x1080","1","global Vitosoft event export"
"coding_plug","435","GWG83: DLH maximale Anstiegszeit","","GWG_Codierstecker_GWG83~0x1080","1","global Vitosoft event export"
"coding_plug","436","GWG84: DLH Reglerverstärkung","","GWG_Codierstecker_GWG84~0x1080","1","global Vitosoft event export"
"coding_plug","437","GWG85: DLH Reglervorhaltezeit","","GWG_Codierstecker_GWG85~0x1080","1","global Vitosoft event export"
"coding_plug","438","GWG86: DLH Reglernachstellzeit","","GWG_Codierstecker_GWG86~0x1080","1","global Vitosoft event export"
"coding_plug","439","GWG87: DLH Ausschaltdifferenz","","GWG_Codierstecker_GWG87~0x1080","1","global Vitosoft event export"
"coding_plug","440","GWG88: Zirkulationspumpe bei Speicherladung","","GWG_Codierstecker_GWG88~0x1080","1","global Vitosoft event export"
"coding_plug|burner_flame_fan","441","GWG91: Modulationsgrad bei 10% Leistung","","GWG_Codierstecker_GWG91~0x1090","1","global Vitosoft event export"
"coding_plug|burner_flame_fan","442","GWG92: Modulationsgrad bei 20% Leistung","","GWG_Codierstecker_GWG92~0x1090","1","global Vitosoft event export"
"coding_plug|burner_flame_fan","443","GWG93: Modulationsgrad bei 30% Leistung","","GWG_Codierstecker_GWG93~0x1090","1","global Vitosoft event export"
"coding_plug|burner_flame_fan","444","GWG94: Modulationsgrad bei 40% Leistung","","GWG_Codierstecker_GWG94~0x1090","1","global Vitosoft event export"
"coding_plug|burner_flame_fan","445","GWG95: Modulationsgrad bei 50% Leistung","","GWG_Codierstecker_GWG95~0x1090","1","global Vitosoft event export"
"coding_plug|burner_flame_fan","446","GWG96: Modulationsgrad bei 60% Leistung","","GWG_Codierstecker_GWG96~0x1090","1","global Vitosoft event export"
"coding_plug|burner_flame_fan","447","GWG97: Modulationsgrad bei 70% Leistung","","GWG_Codierstecker_GWG97~0x1090","1","global Vitosoft event export"
"coding_plug|burner_flame_fan","448","GWG98: Modulationsgrad bei 80% Leistung","","GWG_Codierstecker_GWG98~0x1090","1","global Vitosoft event export"
"coding_plug|burner_flame_fan","449","GWG99: Modulationsgrad bei 90% Leistung","","GWG_Codierstecker_GWG99~0x1090","1","global Vitosoft event export"
"coding_plug|burner_flame_fan","450","GWG9A: Modulationsgrad bei 100% Leistung","","GWG_Codierstecker_GWG9A~0x1090","1","global Vitosoft event export"
"coding_plug","451","GWGA0: Viessmann UV Schrittzahl Verstellweg x1","","GWG_Codierstecker_GWGA0~0x10A0","1","global Vitosoft event export"
